Opponent 1,Opponent 2,Result,Method,Date
Canelo Alvarez,Abraham Gonzalez,Win,,2005-10-29
Canelo Alvarez,Pablo Alvarado,Win,,2005-11-26
Canelo Alvarez,Miguel Vazquez,Win,,2006-01-21
Canelo Alvarez,Pedro Lopez,Win,,2006-02-24
Canelo Alvarez,Jorge Juarez,Draw,,2006-06-17
Canelo Alvarez,Juan Hernandez,Win,,2006-07-08
Canelo Alvarez,Cristian Hernandez,Win,,2006-09-02
Canelo Alvarez,Francisco Villanueva,Win,,2006-09-09
Canelo Alvarez,Daniel Martinez,Win,,2006-12-02
Canelo Alvarez,Javier Martinez,Win,,2007-03-17
Canelo Alvarez,Ivan Illescas,Win,,2007-03-31
Canelo Alvarez,Victor Emilio Marquez,Win,,2007-05-05
Canelo Alvarez,Jesus Abel Hernandez,Win,,2007-06-16
Canelo Alvarez,Christian Solano,Win,,2007-07-14
Canelo Alvarez,Ricardo Cano,Win,,2007-08-25
Canelo Alvarez,Sean Holley,Win,,2007-12-08
Canelo Alvarez,Axel Rodrigo Solis,Win,,2008-02-15
Canelo Alvarez,Francisco Villanueva,Win,,2008-03-14
Canelo Alvarez,Gabriel Martinez,Win,,2008-04-05
Canelo Alvarez,Francisco Villanueva,Win,,2008-06-06
Canelo Alvarez,Miguel Vazquez,Win,,2008-06-28
Canelo Alvarez,Carlos Adan Jerez,Win,,2008-08-30
Canelo Alvarez,Larry Mosley,Win,,2008-10-24
Canelo Alvarez,Raul Pinzon,Win,,2008-12-05
Canelo Alvarez,Luis Antonio Fitch,Win,,2009-01-17
Canelo Alvarez,Euri Gonzalez,Win,,2009-02-21
Canelo Alvarez,Michel Rosales Hernandez,Win,,2009-04-11
Canelo Alvarez,Jeferson Luis Goncalo,Win,,2009-06-20
Canelo Alvarez,Marat Khuzeev,Win,,2009-08-15
Canelo Alvarez,Carlos Leonardo Herrera,Win,,2009-09-15
Canelo Alvarez,Lanardo Tyner,Win,,2009-12-05
Canelo Alvarez,Brian Camechis,Win,,2010-03-06
Canelo Alvarez,Jose Miguel Cotto,Win,,2010-05-01
Canelo Alvarez,Luciano Leonel Cuello,Win,,2010-07-10
Canelo Alvarez,Carlos Manuel Baldomir,Win,,2010-09-18
Canelo Alvarez,Lovemore Ndou,Win,,2010-12-04
Canelo Alvarez,Matthew Hatton,Win,,2011-03-05
Canelo Alvarez,Ryan Rhodes,Win,,2011-06-18
Canelo Alvarez,Alfonso Gomez,Win,,2011-09-17
Canelo Alvarez,Kermit Cintron,Win,,2011-11-26
Canelo Alvarez,Shane Mosley,Win,,2012-05-05
Canelo Alvarez,Josesito Lopez,Win,,2012-09-15
Canelo Alvarez,Austin Trout,Win,,2013-04-20
Canelo Alvarez,Floyd Mayweather Jr,Loss,,2013-09-14
Canelo Alvarez,Alfredo Angulo,Win,,2014-03-08
Canelo Alvarez,Erislandy Lara,Win,,2014-07-12
Canelo Alvarez,James Kirkland,Win,,2015-05-09
Canelo Alvarez,Miguel Cotto,Win,,2015-11-21
Canelo Alvarez,Amir Khan,Win,,2016-05-07
Canelo Alvarez,Liam Smith,Win,,2016-09-17
Canelo Alvarez,Julio Cesar Chavez Jr,Win,,2017-05-06
Canelo Alvarez,Gennadiy Golovkin,Draw,,2017-09-16
Canelo Alvarez,Gennadiy Golovkin,Win,,2018-09-15
Canelo Alvarez,Rocky Fielding,Win,,2018-12-15
Canelo Alvarez,Daniel Jacobs,Win,,2019-05-04
Canelo Alvarez,Sergey Kovalev,Win,,2019-11-02
Canelo Alvarez,Callum Smith,Win,,2020-12-19
Canelo Alvarez,Avni Yildirim,Win,,2021-02-27
Canelo Alvarez,Billy Joe Saunders,Win,,2021-05-08
Canelo Alvarez,Caleb Plant,Win,,2021-11-06
Canelo Alvarez,Dmitrii Bivol,Loss,,2022-05-07
Canelo Alvarez,Gennadiy Golovkin,Win,,2022-09-17
Canelo Alvarez,John Ryder,Win,,2023-05-06
Canelo Alvarez,Jermell Charlo,Win,,2023-09-30
Canelo Alvarez,Jaime Munguia,Win,,2024-05-24
Canelo Alvarez,Edgar Berlanga,Win,,2024-09-24
Canelo Alvarez,William Scull,Win,,2025-05-25
Canelo Alvarez,Terence Crawford,Loss,,2025-09-13
Israil Madrimov,Vladimir Hernandez,Win,,2018-11-24
Israil Madrimov,Frank Rojas,Win,,2019-03-09
Israil Madrimov,Norberto Gonzalez,Win,,2019-06-08
Israil Madrimov,Alejandro Barrera,Win,,2019-10-05
Israil Madrimov,Charlie Navarro,Win,,2020-02-29
Israil Madrimov,Eric Walker,Win,,2020-08-15
Israil Madrimov,Emmany Kalombo,Win,,2021-04-03
Israil Madrimov,Michel Soro,Win,,2021-12-17
Israil Madrimov,Michel Soro,Draw,,2022-07-09
Israil Madrimov,Raphael Igbokwe,Win,,2023-04-08
Israil Madrimov,Magomed Kurbanov,Win,,2024-03-08
Israil Madrimov,Terence Crawford,Loss,,2024-08-03
Israil Madrimov,Vergil Ortiz Jr,Loss,,2025-02-22
Errol Spence Jr.,Jonathan Garcia,Win,,2012-11-09
Errol Spence Jr.,Richard Andrews,Win,,2012-12-15
Errol Spence Jr.,Nathan Butcher,Win,,2013-01-26
Errol Spence Jr.,Luis Torres,Win,,2013-03-02
Errol Spence Jr.,Brandon Hoskins,Win,,2013-05-03
Errol Spence Jr.,Guillermo Ibarra,Win,,2013-06-01
Errol Spence Jr.,Eddie Cordova,Win,,2013-07-20
Errol Spence Jr.,Jesus Tavera,Win,,2013-09-12
Errol Spence Jr.,Emmanuel Lartey,Win,,2013-10-14
Errol Spence Jr.,Gerardo Cuevas,Win,,2013-12-13
Errol Spence Jr.,Peter Oluoch,Win,,2014-02-10
Errol Spence Jr.,Raymond Charles,Win,,2014-04-18
Errol Spence Jr.,Ronald Cruz,Win,,2014-06-27
Errol Spence Jr.,Noe Bolanos,Win,,2014-09-11
Errol Spence Jr.,Francisco Javier Castro,Win,,2014-12-13
Errol Spence Jr.,Samuel Vargas,Win,,2015-04-11
Errol Spence Jr.,Phil Lo Greco,Win,,2015-06-20
Errol Spence Jr.,Chris van Heerden,Win,,2015-09-11
Errol Spence Jr.,Alejandro Barrera,Win,,2015-11-28
